類別,帳號,姓名,暱稱,自我介紹,老師亮點1,老師亮點2,老師亮點3
s,s12@s12,學生12號,sno12,把自我介紹輕鬆帶過，顯然並不適合。生活中，若自我介紹出現了，我們就不得不考慮它出現了的事實。若無法徹底理解自我介紹，恐怕會是人類的一大遺憾。需要考慮周詳自我介紹的影響及因應對策。,,,
s,s13@s13,學生13號,sno13,,,,
s,s14@s14,學生14號,sno14,林逋曾經提過，和以處眾，寬以待下，恕以待人，君子人也。這段話非常有意思,,,
s,s15@s15,學生15號,sno15,,,,
s,s16@s16,學生16號,sno16,領悟其中的道理也不是那麼的困難。,,,
s,s17@s17,學生17號,sno17,,,,
s,s18@s18,學生18號,sno18,,,,
s,s19@s19,學生19號,sno19,,,,
s,s20@s20,學生20號,sno20,問題的關鍵究竟為何？普勞圖斯曾經說過，他本想行善這句話毫無意義，除非他確實這樣去做。這段話的餘韻不斷在我腦海中迴盪著。,,,
s,s21@s21,學生21號,sno21,,,,
s,s22@s22,學生22號,sno22,,,,
s,s23@s23,學生23號,sno23,,,,
s,s24@s24,學生24號,sno24,,,,
s,s25@s25,學生25號,sno25,,,,
s,s26@s26,學生26號,sno26,,,,
s,s27@s27,學生27號,sno27,,,,
s,s28@s28,學生28號,sno28,,,,
s,s29@s29,學生29號,,,,,
s,s30@s30,學生30號,,這似乎解答了我的疑惑。不要先入為主覺得自我很複雜，實際上，自我可能比你想的還要更複雜。問題的關鍵究竟為何？,,,
s,s31@s31,學生31號,,,,,
s,s32@s32,學生32號,,,,,
t,t2@t2,老師2號,,一般來說，對我個人而言，自我不僅僅是一個重大的事件，還可能會改變我的人生。,便宜又美味,好吃又大方,一碗30元
t,t3@t3,老師3號,,由於，儘管自我看似不顯眼，卻佔據了我的腦海。自我改變了我的命運。自我的發生，到底需要如何實現，不自我的發生，又會如何產生。本人也是經過了深思熟慮,絕對不推銷,,有時候會送禮物
t,t4@t4,老師4號,,在每個日日夜夜思考這個問題。在這種困難的抉擇下，本人思來想去，寢食難安。動機，可以說是最單純的力量。奧斯說過一句著名的話，不能光是揭露人家過去的錯誤，而不尊重人家目前的為人。,一堂50元,買一送一,法學碩士畢業
t,t5@t5,老師5號,老5,,,,
t,t6@t6,老師6號,老6,這讓我的思緒清晰了。吳運鐸曾經認為，不參加變革社會的鬥爭，理想永遠是一種幻影。希望各位能用心體會這段話。若沒有自我的存在，那麼後果可想而知。,,,買一送一
t,t7@t7,老師7號,老7,毛澤東說過一句著名的話，黨的政策是黨的生命。這讓我的思緒清晰了。話雖如此，我們一般認為，抓住了問題的關鍵，其他一切則會迎刃而解。,,經過認證，童叟無欺,
t,t8@t8,老師8號,老8,,,,
t,t9@t9,老師9號,老9,拉布呂耶爾說過一句著名的話，喜歡當面誇獎別人的人，也善於背。,,,
t,t10@t10,老師10號,老10,,,,
t,t11@t11,老師11號,老11,,,,
t,t12@t12,老師12號,老12,羅蘭深信，都讀一些書，讓自己多有一點自信，加上你因了解人情世故而產生的一種對人對物的愛與寬恕的涵養。那時，你自然就會有一種從容不迫、雍容高雅的風度。,,,
t,t13@t13,老師13號,老13,,,,
t,t14@t14,老師14號,老14,但願諸位理解後能從中有所成長。這種事實對本人來說意義重大，相信對這個世界也是有一定意義的。說到自我，你會想到什麼呢？我認為，自我必定會成為未來世界的新標準。,,,
t,t15@t15,老師15號,老15,,,,
t,t16@t16,老師16號,老16,這句話語雖然很短，但令我浮想聯翩。,,,
t,t17@t17,老師17號,老17,,,,
t,t18@t18,老師18號,老18,,,,
t,t19@t19,老師19號,老19,,,,
t,t20@t20,老師20號,老20,結來說，需要考慮周詳自我的影響及因應對策。那麼，當前最急迫的事，想必就是釐清疑惑了。,,,
t,t21@t21,老師21號,老21,,,,
t,t22@t22,老師22號,老22,,,,
t,t23@t23,老師23號,老23,,,,
t,t24@t24,老師24號,老24,,,,
t,t25@t25,老師25號,,,,,
t,t26@t26,老師26號,,我們不妨可以這樣來想: 自我勢必能夠左右未來。斯大林說過一句很有意思的話，科學所以叫作科學，正是因為它不承認偶像，不怕推翻過時的舊事物，很仔細地傾聽實踐和經驗的呼聲。,,,
t,t27@t27,老師27號,,,,,
t,t28@t28,老師28號,,,,,
t,t29@t29,老師29號,,這句話語雖然很短，但令我浮想聯翩。從這個角度來看，自我對我來說，已經成為了我生活的一部分。對於一般人來說，自我究竟象徵著什麼呢？探討自我時，如果發現非常複雜，那麼想必不簡單。,,,
